#date,total,ml_rejected,threshold,ghost_total,ghost_movers,total_movers,promoted,atticpossible,recoveredmovers,seeing
2015-03-16 00:00:00,5555.0,4337.0,0.469,170.0,0.0,348.0,1,2,326,4.37203502
2015-03-17 00:00:00,3383.0,2720.0,0.469,87.0,0.0,438.0,4,6,421,3.57302629
2015-03-18 00:00:00,5731.0,4395.0,0.469,146.0,0.0,875.0,10,22,848,3.51584527
2015-03-19 00:00:00,1839.0,1489.0,0.469,40.0,0.0,248.0,10,5,241,4.02920748
2015-03-20 00:00:00,2616.0,2016.0,0.469,76.0,0.0,371.0,2,4,364,3.92664752
2015-03-21 00:00:00,3580.0,3109.0,0.469,87.0,0.0,165.0,29,21,155,3.81167947
2015-03-22 00:00:00,3598.0,2997.0,0.469,92.0,0.0,321.0,10,4,312,3.94588984
2015-03-23 00:00:00,7083.0,6129.0,0.469,185.0,0.0,329.0,6,0,315,3.74564093
2015-03-24 00:00:00,3350.0,2769.0,0.469,109.0,0.0,141.0,17,34,132,3.55971008
2015-03-25 00:00:00,4671.0,4044.0,0.469,141.0,0.0,165.0,3,6,155,3.77430745
2015-03-26 00:00:00,4353.0,3808.0,0.469,111.0,0.0,58.0,11,27,57,3.60664366
2015-03-27 00:00:00,59.0,28.0,0.469,4.0,0.0,14.0,1,3,13,4.11835197
2015-03-28 00:00:00,6693.0,6319.0,0.469,114.0,0.0,50.0,2,6,49,5.73442071
2015-03-29 00:00:00,5483.0,4997.0,0.469,127.0,0.0,88.0,20,30,84,3.65101354
2015-03-30 00:00:00,5861.0,5428.0,0.469,148.0,31.0,118.0,15,5,74,3.70631151
2015-03-31 00:00:00,5280.0,4624.0,0.469,195.0,54.0,339.0,21,24,239,3.81533004
2015-04-01 00:00:00,4714.0,4108.0,0.469,184.0,19.0,149.0,16,17,113,3.71863958
2015-04-02 00:00:00,3699.0,3300.0,0.469,153.0,10.0,86.0,1,10,64,3.69090336
2015-04-03 00:00:00,2900.0,2426.0,0.469,185.0,24.0,137.0,4,1,111,3.9960389
2015-04-04 00:00:00,252.0,223.0,0.469,9.0,0.0,0.0,0,0,0,4.06188464
2015-04-05 00:00:00,3135.0,2716.0,0.469,143.0,10.0,42.0,7,2,31,3.60241066
2015-04-06 00:00:00,26.0,23.0,0.469,1.0,0.0,0.0,0,0,0,5.23514166667
2015-04-07 00:00:00,1495.0,1303.0,0.469,87.0,0.0,0.0,1,2,0,4.50507869
2015-04-08 00:00:00,1974.0,1677.0,0.469,84.0,15.0,86.0,8,30,63,4.1053663
2015-04-09 00:00:00,2297.0,2112.0,0.469,89.0,6.0,32.0,4,8,25,4.90507049
2015-04-10 00:00:00,2217.0,1846.0,0.469,89.0,16.0,129.0,8,3,110,4.71950181
2015-04-11 00:00:00,6245.0,5150.0,0.469,233.0,71.0,576.0,10,2,446,3.58866978
2015-04-12 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-04-13 00:00:00,2283.0,2022.0,0.469,57.0,1.0,36.0,7,1,34,4.62920087
2015-04-14 00:00:00,3070.0,2702.0,0.469,107.0,25.0,97.0,8,5,68,3.59044723
2015-04-15 00:00:00,484.0,459.0,0.469,12.0,8.0,17.0,1,0,8,7.19623774
2015-04-16 00:00:00,1476.0,1327.0,0.469,46.0,4.0,53.0,1,0,45,5.5352624
2015-04-17 00:00:00,2166.0,1808.0,0.469,92.0,19.0,177.0,3,1,157,4.60309033
2015-04-18 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-04-19 00:00:00,3140.0,2779.0,0.469,123.0,43.0,173.0,0,1,128,4.880113
2015-04-20 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-04-21 00:00:00,2449.0,2125.0,0.469,102.0,16.0,91.0,12,22,71,4.76338202
2015-04-22 00:00:00,2089.0,1973.0,0.469,21.0,8.0,59.0,0,8,47,7.20846201
2015-04-23 00:00:00,627.0,361.0,0.469,73.0,47.0,202.0,13,12,145,4.22135986
2015-04-24 00:00:00,5412.0,4781.0,0.469,199.0,12.0,133.0,33,26,113,3.74041209
2015-04-25 00:00:00,3186.0,2741.0,0.469,134.0,23.0,137.0,10,27,107,3.91134155
2015-04-26 00:00:00,765.0,662.0,0.469,35.0,7.0,31.0,0,0,23,3.53823091
2015-04-27 00:00:00,5540.0,4632.0,0.469,264.0,122.0,554.0,14,6,387,4.62279207
2015-04-28 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-04-29 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-04-30 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-05-01 00:00:00,97.0,88.0,0.469,2.0,0.0,0.0,0,0,0,7.56825887
2015-05-02 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,0
2015-05-03 00:00:00,1887.0,1641.0,0.469,107.0,0.0,3.0,15,5,3,4.78862678
2015-05-04 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,3.81035976
2015-05-05 00:00:00,3006.0,2594.0,0.469,155.0,5.0,69.0,1,0,61,4.46051631
